"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"SPIO SETOSA","",,"","214150813040000","SPISET","5001430704","","S","","VERRILL","","","","","","",28-DEC-94,"RAR",,""
"SPIO SP","",,"","214150813000000","SPIOSP","50014307","","G","","","","","","","","",28-DEC-94,"RAR",,""
"SPIONIDA","",,"","214150000000000","SPIONI","NONE","","","","","RUPPERT AND FOX 1988","","NODC LACKS THIS POLYCHAET ORDER","","","",28-DEC-94,"RAR",,""
"SPIONIDAE","",,"","214150800000000","SPIFAM","500143","","F","","","","","","","","",28-DEC-94,"RAR",,""
"SPIOPHANES BOMBYX","",,"","214150814010000","SPIBOM","5001431001","","S","","(CLAPAREDE, 1870)","","","","","","",28-DEC-94,"RAR",,""
"SPIOPHANES SP","",,"","214150814000000","SPIOS1","50014310","","G","","","","","","","","",28-DEC-94,"RAR",,""
"SPIRONTOCARIS LILJEBORGII","FRIENDLY BLADE SHRIMP",295,"","411021407010000","SPILIL","6179160208","","S","","(DANIELSSEN, 1859)","AFS-1989","","","Spirontocaris liljeborgii","Friendly Blade Shrimp","295",09-AUG-95,"BK",,""
"SPIRONTOCARIS PHIPPSII","PUNCTATE BLADE SHRIMP",285,"","411021407020000","SPIPHI","6179160205","","S","","(KROYER, 1841)","AFS-1989","","","Spirontocaris phippsii","Punctate Blade Shrimp","285",09-AUG-95,"BK",,""
"SPIRONTOCARIS SP","",,"","411021407000000","SPIRSP","61791602","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"SPIRONTOCARIS SPINUS","PARROT SHRIMP",286,"","411021407030000","SPIRS1","6179160216","","S","","(SOWERBY, 1805)","AFS-1989","","CORRECTED TYPO IN NAME","Spirontocaris spinus","Parrot Shrimp","286",28-DEC-94,"RAR",,""
"SPIRORBIS SP","",,"","214130501000000","SPIRS2","50017305","","G","","DAUDIN,1800","","","","","","",28-DEC-94,"RAR",,""
"SPISULA SOLIDISSIMA","ATLANTIC SURFCLAM",403,"SURFCLAM","512081906020000","SPISOL","5515250102","","S","","(DILLWYN,1817)","AFS-1988","","|SV: NAME CHANGED TO CONFORM TO FCDI PREY NAMES","Spisula solidissima (live)","Surf Clam (Live)","403",09-AUG-95,"BK",,""
"SPISULA SOLIDISSIMA CLAPPER","ATLANTIC SURFCLAM CLAPPER",406,"SURFCLAM","","","NONE","","","","","RSI-1996","","SPECIAL RSI CODE |SV: SHELLS WITH INTACT HINGE, SUGGEST ANOXIA","Spisula solidissima (clapper)","Surf Clam (Clapper)","406",09-AUG-95,"BK",,""
"SQUALUS ACANTHIAS","SPINY DOGFISH",15,"SPDOG","822031507010000","SQUACA","8710010201","","S","","SMITH AND RADCLIFF, 1912","AFS-1991","","","Squalus acanthias","Spiny Dogfish","015",09-AUG-95,"BK",,""
"SQUATINA DUMERIL","ATLANTIC ANGEL SHARK",16,"ANGELSH","","","8711010102","","S","","LESUEUR, 1818","AFS-1991","","|SV: SPELLING CHANGE AFS-1990","Squatina dumerili","Atlantic Angel Shark","016",09-AUG-95,"BK",,""
"SQUILLA EMPUSA","",,"","411110405090000","SQUEMP","6191010101","","S","","","","","","","","",28-DEC-94,"RAR",,""
"SQUILLA NEGLECTA","",,"","411110405140000","SQUNEG","6191010103","","S","","","","","","","","",28-DEC-94,"RAR",,""
"SQUILLA SP","",,"","411110405000000","SQUISP","61910101","","G","","FABRICIUS,1793","","","","","","",28-DEC-94,"RAR",,""
"STEGOCEPHALUS INFLATUS","",,"","411012802010000","STEINF","6169470701","","S","","KROYER, 1842","","","SINGLE SP. IN FAMILY IN AREA","","","",28-DEC-94,"RAR",,""
"STELLEROIDEA","SEA STAR, BRITTLE STAR, AND BASKETSTAR UNCL",332,"STARFISU","","","8101","","C","","","BARNS 1987","","|SV: IF INCLUDES BRITTLE STARS, ELSE ASTEROIDEA","Asteriidae sp","Starfish Uncl","332",08-MAR-99,"FPA",,""
"STELLIFER LANCEOLATUS","STAR DRUM",655,"STARDRUM","","","8835441001","","S","","(HOLBROOK)","AFS-1991","","","Stellifer lanceolatus","Star Drum","655",09-AUG-95,"BK",,""
"STENOCIONOPS FURCATUS","FURCATE SPIDER CRAB",,"","411021809010000","STEFUR","6187012401","","S","","(OLIVER, 1791)","AFS-1989","","FH TYPE FIXED","","","",28-DEC-94,"RAR",,""
"STENOPLEUSTES GRACILIS","",,"","411012504010000","STEGRA","6169430609","","S","","HOLMES, 1905","","","","","","",28-DEC-94,"RAR",,""
"STENOPLEUSTES INERMIS","",,"","411012504020000","STEINE","6169430610","","S","","SHOEMAKER, 1949","","","","","","",28-DEC-94,"RAR",,""
"STENOPLEUSTES SP","",,"","411012504000000","STENSP","61694306","","G","","SARS, 1895","","","","","","",28-DEC-94,"RAR",,""
"STENOTHOE MINUTA","",,"","411012902020000","STEMIN","6169481002","","S","","HOLMES, 1905","","","","","","",28-DEC-94,"RAR",,""
"STENOTHOE SP","",,"","411012902000000","STENS1","61694810","","G","","DANA, 1852","","","","","","",28-DEC-94,"RAR",,""
"STENOTHOIDAE","",,"","411012900000000","STEFAM","616948","","F","","CHEVREUX","","","","","","",28-DEC-94,"RAR",,""
"STENOTOMUS CHRYSOPS","SCUP",143,"SCUP","823217106020000","STECHR","8835430101","","S","","LINNAEUS","AFS-1991","","|SV: SEE CODE 642","Stenotomus chrysops","Scup","143",09-AUG-95,"BK",,""
"STENOTOMUS CAPRINUS","SCUP",642,"--DNU--","823217106020000","STECHR","8835430101","","S","","LINNAEUS","AFS-1991","","|SV: SUBSPECIES OF SCUP OFTEN MISCLASSIFIED 1973-80, CHECK LOGS & RECODE TO 143","Stenotomus caprinus. . . . . .dnu","Longspine Porgy","642",18-JUN-02,"FALMEIDA",,""
"STENOTOMUS SP","",,"","823217106000000","STENS2","88354301","","G","","","AFS-1991","","MOSTLY S. CHRYSOPS, TAXON CONFUSION","","","",28-DEC-94,"RAR",,""
"STENULA SP","",,"","411012906010000","STENS3","61694812","","G","","J. L. BARNARD, 1962","","","","","","",28-DEC-94,"RAR",,""
"STEREODERMA UNISEMITA","",,"","615030105030000","STEUNI","8172060701","","S","","","","","","","","",28-DEC-94,"RAR",,""
"STERNASPIS SCUTATA","",,"","214160101010000","STESCU","5001590101","","S","","","","","SINGLE SP. IN FAMILY IN AREA","","","",28-DEC-94,"RAR",,""
"STERNOPTYCHIDAE","HATCHETFISH UNCL",252,"HATCHU","","","875902","","F","","","SCOTT&SCOTT-169","","","Sternoptychidae sp","Hatchetfish Uncl","252",01-JAN-99,"FPA",,""
"STHENELAIS BOA","",,"","214112307020000","STHBOA","5001060302","","S","","(JOHNSTON)","","","","","","",28-DEC-94,"RAR",,""
"STHENELAIS LIMICOLA","",,"","214112307030000","STHLIM","5001060303","","S","","EHLERS","","","","","","",28-DEC-94,"RAR",,""
"STHENELAIS SP","",,"","214112307000000","STHESP","50010603","","G","","","","","","","","",28-DEC-94,"RAR",,""
"STOMATOPODA","MANTIS SHRIMP UNCL",323,"","411110000000000","STOMAT","6191","","O","","","BARNS 1987","","|SV: CORRECTED TO TAXONOMIC GROUP","Stomatopod sp","Mantis Shrimp","323",01-JAN-99,"FPA",,""
"STOMIAS BOA","BOA DRAGONFISH",228,"BOADRA","823190101010000","STOBOA","8759070205","","S","","(RISSO, 1810)","MORROW 1964","MORROW 1964 FWNA 4:297, FIG. 75","S. BOA FEROX IS SUBSPECIES","Stomias ferox","Boa Dragonfish","228",09-AUG-95,"BK",,""
"STOMIIDAE","SCALY DRAGONFISH UNCL",248,"DRAGONU","","","875907","","F","","","AFS-1991","","|SV: FAMILY REVISIONS AFS-90","Stomiatidae sp","Scaly Dragonfish Uncl","248",01-JAN-99,"FPA",,""
"SCYLLARIDES NODIFER","RIDGED SLIPPER LOBSTER",302,"SLIPLOB","","","6182020202","","S","","(STIMPSON, 1866)","AFS-1989","","","Scyllarides nodifer","Ridged Slipper Lobster","302",09-AUG-95,"BK",,""
"SCYLLARUS SP","",,"","411023902000000","SCYLSP","61820201","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"SCYPHOZOA","TRUE JELLYFISH UNCL",,"","053000000000000","SCYPHO","3730","","C","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"SEBASTES FASCIATUS","ACADIAN REDFISH",155,"REDFISH","823216706300000","SEBFAS","8826010169","","S","","STORER, 1854","AFS-1991","","","Sebastes fasciatus","Acadian Redfish","155",09-AUG-95,"BK",,""
"SELAR CRUMENOPHTHALMUS","BIGEYE SCAD",209,"BIGSCAD","","","8835280601","","S","","(BLOCH)","AFS-1991","","FH TYPO CORRECTED","Selar crumenopthalmus","Bigeye Scad","209",09-AUG-95,"BK",,""
"SALPA FUSIFORMIS","",,"","763030105020000","SALFUS","8411010301","","S","","","","","","","","",28-DEC-94,"RAR",,""
"SALPIDAE","",,"","763030100000000","SALFAM","841101","","F","","","","","","","","",28-DEC-94,"RAR",,""
"SAND","SAND OR MUD",,"","931020101020000","SAND","NONE","","","","","FH-1995","","SPECIAL FCDI CODE FOR SAND IN STOMACH","","","",28-DEC-94,"RAR",,""
"SARDA ORIENTALIS","STRIPED BONITO",938,"STBONITO","","","8850030203","","S","","(TEMMINCH AND SCHLEGEL)","","","|SV: CHEKC LOGS, SP NOT IN US WATERS","Sarda orientalis","Striped Bonito","938",09-AUG-95,"BK",,""
"SARDA SARDA","ATLANTIC BONITO",123,"BONITO","","","8850030202","","S","","(BLOCH)","AFS-1991","","","Sarda sarda","Atlantic Bonito","123",09-AUG-95,"BK",,""
"SARDINELLA AURITA","SPANISH SARDINE",429,"SPASARD","823080607010000","SARAUR","8747011001","","S","","VALENCIENNES, 1847","AFS-1991","","|SV: NAME CHANGE AFS-1980","Sardinella anchovia","Spanish Sardine","429",09-AUG-95,"BK",,""
"SARSONUPHIS QUADRICUSPIS","",,"","214050908010000","SARQUA","5001291304","","S","","","FAUCHALD","","","","","",28-DEC-94,"RAR",,""
"SAURIDA BRASILIENSIS","LARGESCALE LIZARDFISH",433,"LARLIZ","","","8762020301","","S","","NORMAN","AFS-1991","","","Saurida brasiliensis","Largescale Lizardfish","433",09-AUG-95,"BK",,""
"SAURIDA NORMANI","SHORTJAW LIZARDFISH",434,"SHOLIZ","","","8762020303","","S","","LONGLEY","AFS-1991","","","Saurida normani","Shortjaw Lizardfish","434",09-AUG-95,"BK",,""
"SCALIBREGMA INFLATUM","",,"","214080203010000","SCAINF","5001570101","","S","","RATHKE","","","MOST COMMON SP., POSS. ID CONFUSION","","","",28-DEC-94,"RAR",,""
"SCAPHANDER PUNCTOSTRIATUS","GIANT CANOE BUBBLE",,"","514050803020000","SCAPUN","5110040302","","S","","(MIGHELS,1841)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"SCAPHOPODA","TUSKSHELL AND TOOTHSHELL UNCL",,"","513000000000000","SCAPHO","56","","C","","BRONN,1862","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"SCARIDAE","PARROTFISH UNCL",688,"PARRU","823216300000000","SCAFAM","883903","","F","","","AFS-1991","","|SV: MINOR EDITS","Scaridae sp","Parrotfish Uncl","688",01-JAN-99,"FPA",,""
"SCARUS COERULEUS","BLUE PARROTFISH",686,"BLUPARR","","","8839030101","","S","","(BLOCH)","AFS-1991","","","Scarus coeruleus","Blue Parrotfish","686",09-AUG-95,"BK",,""
"SCHIZASTERIDAE","",,"","612060600000000","SCHFAM","816204","","F","","LAMBERT, 1905","","","","","","",28-DEC-94,"RAR",,""
"SCHULTZEA BETA","SCHOOL BASS",523,"SCHOOL","","","8835022101","","S","","HILDEBRAND","AFS-1991","","","Schultzea beta","School Bass","523",09-AUG-95,"BK",,""
