"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"LAMPANYCTUS SP","MADEIRA LANTERNFISH",52,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Lampanyctus sp","Madeira Lanternfish","052",09-AUG-95,"BK",,""
"MYCTOPHUM HUMBOLDTI","HUMBOLDTS LANTERNFISH",53,"--DNU--","823180500000000","MYCFAM","876214","","F","","","AFS-1991","","|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Myctophum humboldti","Humboldts Lanternfish","053",09-AUG-95,"BK",,""
"MACROZOARCES AMERICANUS EGGS","OCEAN POUT EGGS",,"","823218310010100","MACAM1","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"MACTRIDAE","SURFCLAM, DUCKCLAM, AND GAPER UNCL",,"","512081900000000","MACFA1","551525","","F","","LAMARCK,1809","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"MACTROMERIS POLYNYMA","ARCTIC SURFCLAM",407,"","512081907010000","MACPOL","5515251001","","S","","(STIMPSON,1860)","AFS-1988","","|SV: COMMON NAME CORRECTED TO AFS-1988","Mactromeris polynyma","Arctic Surf Clam (Live)","407",09-AUG-95,"BK",,""
"MACTROMERIS POLYNYMA CLAPPER","ARCTIC SURFCLAM CLAPPER",408,"","","","NONE","","","","","RSI-1996","","SPECIAL RSI CODE |SV: SHELLS WITH INTACT HINGE, SUGGEST ANOXIA","Mactromeris polynyma","Arctic Surf Clam (Clapper)","408",09-AUG-95,"BK",,""
"MAERA DANAE","",,"","411011205010000","MAEDAN","6169210801","","S","","STIMPSON, 1853","","","","","","",28-DEC-94,"RAR",,""
"MAERA LOVENI","",,"","411011205100000","MAELOV","6169210802","","S","","","","","","","","",28-DEC-94,"RAR",,""
"MAERA SP","",,"","411011205000000","MAERSP","61692108","","G","","LEACH,1814","","","","","","",28-DEC-94,"RAR",,""
"MAGELONA ROSEA","",,"","214150601040000","MAGROS","5001440104","","S","","MOORE","","","","","","",28-DEC-94,"RAR",,""
"MAJIDAE","SPIDER CRAB UNCL",317,"SPIDERU","411021800000000","MAJFAM","618701","","F","","","AFS-1989","","|SV: MINOR EDITS","Majidae sp","Spider Crab Uncl","317",01-JAN-99,"FPA",,""
"MAKAIRA INDICA","BLACK MARLIN",940,"BLAMARL","","","8850060202","","S","","(CUVIER)","AFS-1991","","","Makaira indica","Black Marlin","940",09-AUG-95,"BK",,""
"MAKAIRA NIGRICANS","BLUE MARLIN",707,"BLUMRL","","","8850060201","","S","","LACEPEDE","AFS-1991","","","Makaira nigricans","Blue Marlin","707",09-AUG-95,"BK",,""
"MALACANTHUS PLUMIERI","SAND TILEFISH",624,"SATILE","","","8835220301","","S","","(BLOCH)","AFS-1991","","","Malacanthus plumieri","Sand Tilefish","624",09-AUG-95,"BK",,""
"MALDANE SARSI","",,"","214020307010000","MALSAR","5001630301","","S","","","","","","","","",28-DEC-94,"RAR",,""
"MALDANE SP","",,"","214020307000000","MALDSP","50016303","","G","","","","","","","","",28-DEC-94,"RAR",,""
"MALDANIDAE","BAMBOO WORM UNCL",,"","214020300000000","MALFAM","500163","","F","","","","","","","","",28-DEC-94,"RAR",,""
"MALLOTUS VILLOSUS","CAPELIN",38,"CAPELIN","","","8755030201","","S","","(MUELLER, 1776)","AFS-1991","","","Mallotus villosus","Capelin","038",09-AUG-95,"BK",,""
"MANTA BIROSTRIS","MANTA",272,"MANTA","","","8713080101","","S","","","AFS-1991","","|SV: COMMON NAME CHANGE AFS-90","Manta birostris","Atlantic Manta","272",09-AUG-95,"BK",,""
"MARGARITES SP","",,"","514021002000000","MARGSP","51021003","","G","","GRAY, 1847","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"MARGINELLA ROSCIDA","VIRGINIA MARGINELLA",,"","514080401030000","MARROS","5105150222","","S","","REDFIELD, 1860","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"MARPHYSA BELLI","",,"","214050303010000","MARBEL","5001300202","","S","","","","","","","","",28-DEC-94,"RAR",,""
"MARPHYSA SANGUINEA","",,"","214050303040000","MARSAN","5001300201","","S","","MONTAGU, 1815","","","","","","",28-DEC-94,"RAR",,""
"MARPHYSA SP","",,"","214050303000000","MARPSP","50013002","","G","","QUATREFAGES,1866","","","","","","",28-DEC-94,"RAR",,""
"CLEPTICUS PARRAE","CREOLE WRASSE",674,"CREOLE","","","8839010401","","S","","(BLOCH AND SCHNEIDER, 1801)","AFS-1991","","|SV: SPELLING CHANGE AFS-1990","Clepticus parrai","Creole Wrasse","674",09-AUG-95,"BK",,""
"CLINIDAE","CLINID UNCL",727,"CLINIDU","","","884209","","F","","","AFS-1991","","|SV: MINOR EDITS","Clinidae sp","Clinid Uncl","727",01-JAN-99,"FPA",,""
"CLINOCARDIUM CILIATUM","HAIRY COCKLE",,"","512080303010000","CLICIL","5515220101","","S","","(FABRICIUS,1780)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"CLIONE LIMACINA","",,"","514060201010000","CLILIM","5125060101","","S","","(PHIPPS,1774)","AFS-1988","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"CLUPEA HARENGUS","ATLANTIC HERRING",32,"HERRING","823080603010000","CLUHAR","8747010201","","S","","LINNAEUS, 1758","AFS-1991","","MONOTYPIC GENUS IN AREA","Clupea harengus","Atlantic Herring","032",09-AUG-95,"BK",,""
"CLUPEIDAE","HERRING UNCL",30,"HERRU","823080600000000","CLUFAM","874701","","F","","","AFS-1991","","|SV: DROPPED SP AND MODIFIED COMMON NAME","Clupeidae sp","Herring Uncl","030",01-JAN-99,"FPA",,""
"CLUPEIDAE EGGS","HERRING EGGS",,"","823080600000100","CLUEGG","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"CLUPEIDAE LARVAE","HERRING LARVAE",,"","823080600000200","CLULAR","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"CLYMENELLA SP","",,"","214020303000000","CLYMSP","50016302","","G","","","","","","","","",28-DEC-94,"RAR",,""
"CLYMENELLA TORQUATA","",,"","214020303020000","CLYTOR","5001630202","","S","","(LEIDY)","","","","","","",28-DEC-94,"RAR",,""
"CLYMENELLA ZONALIS","",,"","214020303030000","CLYZON","5001630203","","S","","","","","","","","",28-DEC-94,"RAR",,""
"CLYPEASTEROIDA","SAND DOLLAR UNCL",330,"DOLLARU","611010200000000","","8152","","O","","","BARNS 1994","","|SV: NOTE ONE SP COMMON IN SURVEY AREA SEE 331","Echinoidae sp","Sand Dollar Uncl","330",01-JAN-99,"FPA",,""
"CNIDARIA","",,"","050000000000000","CNIDAR","37","","P","","(HATSCHEK, 1888)","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"COELORHYNCHUS CARMINATUS","LONGNOSE GRENADIER",93,"LOGREN","","","8794010402","","S","S","","AFS-1991","","","Coelorhynchus carminatus","Longnose  Grenadier","093",09-AUG-95,"BK",,""
"COLUS SP","",,"","514080103000000","COLUSP","51050503","","G","","RODING,1798","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"COLUS STIMPSONI","STIMPSON'S WHELK",346,"","","","5105050329","","S","","(MORCH,1861)","AFS-1988","","|SV: NOTE COMMON NAME NOT RECOGNIZED IN AFS-1988","Colus stimpsoni","Stimpson'S Whelk","346",09-AUG-95,"BK",,""
"CONGER OCEANICUS","CONGER EEL",63,"CONGER","823030202010000","CONOCE","8741120101","","S","","(MITCHILL, 1814)","AFS-1991","","FREQ. ID CONFUSION WITH OTHER CONGRIDAE |SV: NOTE, FREQ. ID CONFUSION WITH OTHER","Conger oceanicus","Conger Eel","063",09-AUG-95,"BK",,""
"CONGRIDAE","CONGER EEL UNCL",390,"CONGERU","823030200000000","CONFAM","874112","","F","","","AFS-1991","","|SV: MINOR EDITS","Congridae sp","Conger Eel Uncl","390",01-JAN-99,"FPA",,""
"COOKEOLUS JAPONICUS","BULLEYE",616,"","","","8835170302","","S","","(CUVIER, 1829)","AFS-1991","","|SV: NAME CHANGE AFS-90","Cookeolus boops","Bulleye","616",09-AUG-95,"BK",,""
"COPEPODA","COPEPOD UNCL",,"","411080000000000","COPEPO","6117","","","","","","","","","","",28-DEC-94,"RAR",,""
"CAULOLATILUS CYANOPS","BLACKLINE TILEFISH",562,"BLATILE","","","8835220102","","S","","POEY","AFS-1991","","","Caulolatilus cyanops","Blackline Tilefish","562",09-AUG-95,"BK",,""
"CAULOLATILUS INTERMEDIUS","ANCHOR TILEFISH",623,"BARTILE","","","8835220103","","S","","","AFS-1991","","|SV: CORRECTED COMMON NAME TO AFS-1980 STANDARD","Caulolatilus intermedius","Gulf Bareye Tilefish","623",09-AUG-95,"BK",,""
"CAULOLATILUS MICROPS","BLUELINE TILEFISH",621,"GRATILE","","","8835220104","","S","","","AFS-1991","","|SV: CORRECTED COMMON NAME TO AFS-1980 STANDARD","Caulolatilus microps","Gray Tilefish","621",09-AUG-95,"BK",,""
"CAVOLINIIDAE","",,"","514060100000000","CAVFAM","511302","","","","","AFS-1988","","NODC ERROR AS CAVOLINIDAE","","","",28-DEC-94,"RAR",,""
"CELLOPHANE","CELLOPHANE",,"","932020101030000","CELLOP","NONE","","","","","FH-1995","","SPECIAL FCDI CODE","","","",28-DEC-94,"RAR",,""
"CELLOPHANE CIGARETTE","CELLOPHANE CIGARETTE PACKAGE",,"","932020101040000","CELCIG","NONE","","","","","FH-1995","","SPECIAL FCDI CODE","","","",28-DEC-94,"RAR",,""
"CENTROPAGES SP","",,"","411080401000000","CENTSP","61181701","","G","","KROYER,1849","","","","","","",28-DEC-94,"RAR",,""
"CENTROPAGES TYPICUS","",,"","411080401040000","CENTYP","6118170106","","S","","KROYER, 1849","","","","","","",28-DEC-94,"RAR",,""
"CENTROPOMUS UNDECIMALIS","COMMON SNOOK",497,"SNOOK","","","8835010105","","S","","(BLOCH, 1792)","AFS-1991","","|SV: COMMON NAME CHANGE AFS-1990","Centropomus undecimalis","Snook","497",09-AUG-95,"BK",,""
"CENTROPRISTIS SP","",,"","823217003000000","CENTS1","88350203","","G","","","AFS-1991","","|FH: CORRECTED TYPO","","","",28-DEC-94,"RAR",,""
"CENTROPRISTIS OCYURUS","BANK SEA BASS",526,"BASEABAS","","","8835020304","","S","","(JORDAN AND EVERMANN)","AFS-1991","","","Centropristis ocyurus","Bank Sea Bass","526",09-AUG-95,"BK",,""
"CENTROPRISTIS PHILADELPHICA","ROCK SEA BASS",527,"ROSEABAS","","","8835020305","","S","","(LINNAEUS)","AFS-1991","","","Centropristis philadelphica","Rock Sea Bass","527",09-AUG-95,"BK",,""
"CENTROPRISTIS STRIATA","BLACK SEA BASS",141,"BLSEABAS","823217003040000","CENSTR","8835020301","","S","","(LINNAEUS)","AFS-1991","","","Centropristis striata","Black Sea Bass","141",09-AUG-95,"BK",,""
"CENTROSCYLLIUM FABRICII","BLACK DOGFISH",7,"BLADOG","822031501010000","","8710010901","","S","","(REINHARDT, 1825)","AFS-1991","","REMOVED EXTRA SPACE","Centroscyllium  fabricii","Black Dogfish","007",09-AUG-95,"BK",,""
"CEPHALOPODA","SQUID, CUTTLEFISH, AND OCTOPOD UNCL",501,"SQUIDU","515000000000000","CEPHAL","57","","C","","CUVIER,1797","AFS-1988","","|SV: PUT INVALID TAXONOMIC GP WITH CEPHALOPODA, REFERS MOSTLY TO ILLEX & LOLIGO","Chrondrophora sp","Squid Uncl","501",08-MAR-99,"FPA",,""
"CEPHALOPODA BEAKS","SQUID BEAKS",,"","515000000000005","CEPBEA","NONE","","","","","FH-1995","","SPECIAL FCDI CODE","","","",28-DEC-94,"RAR",,""
"CERASTODERMA PINNULATUM","NORTHERN DWARF-COCKLE",,"","512080302010000","CERPIN","5515220601","","S","","(CONRAD,1831)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"CERASTODERMA SP","",,"","512080302000000","CERASP","55152206","","G","","POLI,1795","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"CERATOCEPHALE LOVENI","",,"","214111401010000","CERLOV","5001240601","","S","","MALMGREN","","","","","","",28-DEC-94,"RAR",,""
"CEREBRATULUS SP","",,"","091010101000000","CERESP","43030202","","G","","","","","","","","",28-DEC-94,"RAR",,""
"CERIANTHEOPSIS AMERICANA","",,"","052230102010000","CERAME","3743010201","","S","","(VERRILL, 1862)","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"CERIANTHIDAE","TUBE-DWELLING ANEMONE UNCL",,"","052230100000000","CERFAM","374301","","F","","","AFS-1991","","SINGLE FAMILY IN AREA","","","",28-DEC-94,"RAR",,""
"CERIANTHIDAE TUBES","CERIANTHID TUBES",,"","052230100000009","CERTUB","NONE","","","","","FH-1995","","SPECIAL FCDI CODE","","","",28-DEC-94,"RAR",,""
"CERIANTHUS BOREALIS","",,"","052230101020000","CERBOR","3743010102","","S","","VERRILL, 1873","AFS-1991","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"CERITHIIDAE","",,"","514040900000000","CERFA1","510346","","F","","FLEMING, 1822","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"CESTODA","TAPE WORM UNCL",,"","071000000000000","CESTOD","3960","","C","","","","","","","","",28-DEC-94,"RAR",,""
"CETORHINUS MAXIMUS","BASKING SHARK",6,"BASKSH","","","8707040201","","S","","(GUNNERUS, 1765)","AFS-1991","","","Cetorhinus maximus","Basking Shark","006",09-AUG-95,"BK",,""
"CHAETODERMA NITIDULUM","GLISTEN-WORM SOLENOGASTER",,"","511010101040000","CHANIT","5402010102","","S","","","AFS-1988","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"CHAETODIPTERUS FABER","ATLANTIC SPADEFISH",659,"SPADE","","","8835520101","","S","","(BROUSSONET)","AFS-1991","","","Chaetodipterus faber","Atlantic Spadefish","659",09-AUG-95,"BK",,""
"CHAETODON ACULEATUS","LONGSNOUT BUTTERFLYFISH",864,"LONBUT","","","8835550135","","S","","","AFS-1991","","|SV: NAME CHANGE AFS-1980","Prognathodes aculeatus","Longsnout Butterflyfish","864",09-AUG-95,"BK",,""
"CHAETODON AYA","BANK BUTTERFLYFISH",660,"BANKBUT","","","8835550102","","S","","JORDAN","AFS-1991","","","Chaetodon aya","Bank Butterflyfish","660",09-AUG-95,"BK",,""
"CHAETODON CAPISTRATUS","FOUREYE BUTTERFLYFISH",661,"4EYEBUT","","","8835550103","","S","","LINNAEUS","AFS-1991","","","Chaetodon capistratus","Foureye Butterflyfish","661",09-AUG-95,"BK",,""
"CHAETODON OCELLATUS","SPOTFIN BUTTERFLYFISH",662,"SPOTBUT","","","8835550101","","S","","BLOCH","AFS-1991","","","Chaetodon ocellatus","Spotfin Butterflyfish","662",09-AUG-95,"BK",,""
"CHAETODON SEDENTARIUS","REEF BUTTERFLYFISH",663,"REEFBUT","","","8835550107","","S","","POEY","AFS-1991","","","Chaetodon sedentarius","Reef Butterflyfish","663",09-AUG-95,"BK",,""
"CHAETODON STRIATUS","BANDED BUTTERFLYFISH",664,"BANBUT","","","8835550108","","S","","LINNAEUS","AFS-1991","","","Chaetodon striatus","Banded Butterflyfish","664",09-AUG-95,"BK",,""
"CHAETODONTIDAE","BUTTERFLYFISH UNCL",855,"BUTFLYU","","","883555","","F","","","AFS-1991","","|SV: MINOR EDITS","Chaetodontidae sp","Butterflyfish Uncl","855",01-JAN-99,"FPA",,""
"CHAETOGNATHA","ARROW WORM UNCL",,"","550000000000000","CHAETO","83","","P","","","","","","","","",28-DEC-94,"RAR",,""
"CHAETOPTERIDAE","",,"","214150300000000","CHAFAM","500149","","F","","","","","","","","",28-DEC-94,"RAR",,""
"CHASCANOPSETTA LUGUBRIS","PELICAN FLOUNDER",778,"PELFL","","","8857030701","","S","","ALCOCK","AFS-1991","","","Chascanopsetta lugubris","Pelican Flounder","778",09-AUG-95,"BK",,""
"CHASMODES BOSQUIANUS","STRIPED BLENNY",729,"STRBLEN","","","8842010301","","S","","(LACEPEDE)","AFS-1991","","","Chasmodes bosquianus","Striped Blenny","729",09-AUG-95,"BK",,""
"CHAULIODUS DANAE","",241,"CDANAE","","","8759060102","","S","","","SCOTT&SCOTT-182","GIBBS 1984 GLOFNAM P.336","","Chauliodus danae","Chauliodus Danae","241",09-AUG-95,"BK",,""
"CHAULIODUS SLOANI","VIPERFISH",240,"VIPER","823190102010000","CHUSLO","8759060103","","S","","SCHNEIDER","SCOTT&SCOTT-182","MORROW 1964 FWNA 4:283, FIG. 74","","Chauliodus sloani","Viperfish","240",09-AUG-95,"BK",,""
"CHAUNAX STIGMAEUS","REDEYE GAPER",862,"RGAPER","","","8787030101","","S","","","Caruso 1989","","","Chaunax pictus","Red Anglerfish","862",08-MAR-99,"JM",,""
"CHELONIA MYDAS","GREEN SEATURTLE",951,"GREEN","","","9002040201","","S","","(LINNAEUS, 1758)","ZUG 1990","","|SV: COMMON NAME CORRECTED TO ZUG 1990","Chelonia mydas","Green Turtle","951",09-AUG-95,"BK",,""
"CHILOMYCTERUS ANTILLARUM","WEB BURRFISH",847,"WEBBURR","","","8861030103","","S","","JORDAN AND RUTTER","AFS-1991","","","Chilomycterus antillarum","Web Burrfish","847",09-AUG-95,"BK",,""
"CHILOMYCTERUS ATINGA","SPOTTED BURRFISH",848,"SPOBURR","","","8861030104","","S","","(LINNAEUS)","AFS-1991","","","Chilomycterus atinga","Spotted Burrfish","848",09-AUG-95,"BK",,""
"CHILOMYCTERUS SCHOEPFI","STRIPED BURRFISH",198,"STRBURR","","","8861030101","","S","","(WALBAUM)","AFS-1991","","","Chilomycterus schoepfi","Striped Burrfish","198",09-AUG-95,"BK",,""
"CHIONOECETES OPILIO","SNOW CRAB",325,"QUEENCRA","411021803010000","","6187010301","","S","","(FABRICIUS, 1788)","AFS-1989","","|SV: CORRECTED TO AFS-1989 STANDARD","Chionectes opilio","Snow Crab","325",12-MAR-99,"FPA",,""
"CHIRIDOTEA ALMYRA","",,"","411030601010000","CHIALM","6162030101","","S","","BOWMAN, 1955","","","","","","",28-DEC-94,"RAR",,""
"CHIRIDOTEA ARENICOLA","",,"","411030601050000","CHIARE","6162030102","","S","","WIGLEY, 1960","","","","","","",28-DEC-94,"RAR",,""
"CHIRIDOTEA CAECA","",,"","411030601020000","CHICAE","6162030103","","S","S","(SAY, 1818)","","","","","","",28-DEC-94,"RAR",,""
"CHIRIDOTEA NIGRESCENS","",,"","411030601030000","CHINIG","6162030104","","S","","WIGLEY, 1961","","","","","","",28-DEC-94,"RAR",,""
"CHIRIDOTEA SP","",,"","411030601000000","CHIRSP","61620301","","G","","","","","","","","",28-DEC-94,"RAR",,""
"CALLINECTES SAPIDUS","BLUE CRAB",314,"BLUECRAB","411023003010000","CALSAP","6189010301","","S","","RATHBUN, 1896","AFS-1989","","","Callinectes sapidus","Blue Crab","314",09-AUG-95,"BK",,""
"CALLIOPIIDAE","",,"","411010800000000","CALFA2","616912","","F","","","","","","","","",28-DEC-94,"RAR",,""
"CALLIOPIUS LAEVIUSCULUS","",,"","411010801010000","CALLAE","6169120201","","S","","KROYER, 1838","","","","","","",28-DEC-94,"RAR",,""
"CALLIOPIUS SP","",,"","411010801000000","CALLSP","61691202","","G","","LILJEBORG, 1865","","","","","","",28-DEC-94,"RAR",,""
"CALOCARIS SP","",,"","411020102000000","CALOSP","61830202","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CALOCARIS TEMPLEMANI","",912,"","411020102020000","CALTEM","6183020201","","S","","SQUIRES, 1965","AFS-1989","","CORRECTED TYPO (C. TEMPLEMANI A COMMON SPELLING)","","","",28-DEC-94,"RAR",,""
"CAMPANULARIIDAE","",,"","051010200000000","CAMFAM","370401","","F","","","AFS-1991","","|FH: SPELLING CORRECTION","","","",28-DEC-94,"RAR",,""
"CANCER BOREALIS","JONAH CRAB",312,"JONAH","411020401010000","CANBOR","6188030107","","S","","STIMPSON, 1859","AFS-1989","","","Cancer borealis","Jonah Crab","312",09-AUG-95,"BK",,""
"CANCER IRRORATUS","ATLANTIC ROCK CRAB",313,"ROCKCRAB","411020401020000","CANIRR","6188030108","","S","","SAY, 1817","AFS-1989","","|SV: CORRECTED TO AFS-1989 STANDARD","Cancer irroratus","Rock Crab","313",09-AUG-95,"BK",,""
"CANCER SP","",,"","411020401000000","CANCSP","61880301","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CANCER SP LARVAE","CANCER LARVAE",,"","411020401000200","CANCS1","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CATEGORY","","","",28-DEC-94,"RAR",,""
"CANCRIDAE","CANCER CRAB UNCL",311,"CANCERU","411020400000000","CANFAM","618803","","F","","","AFS-1989","","|SV: CORRECTED TO AFS-1989 STANDARD","Cancridae sp","Cancer Crab Uncl","311",01-JAN-99,"FPA",,""
"CANDACIA ARMATA","",,"","411081901010000","CANARM","6118260104","","S","","BOECK, 1872","","","","","","",28-DEC-94,"RAR",,""
"CANDACIA NORVEGICA","",,"","411081901040000","CANNOR","6118260112","","S","","(BOECK, 1865)","","","","","","",28-DEC-94,"RAR",,""
"CANDACIA SP","",,"","411081901000000","CANDSP","61182601","","G","","DANA, 1846","","","","","","",28-DEC-94,"RAR",,""
"CANTHIDERMIS SUFFLAMEN","OCEAN TRIGGERFISH",835,"OCEANTRI","","","8860020502","","S","","(MITCHILL)","AFS-1991","","","Canthidermis sufflamen","Ocean Triggerfish","835",09-AUG-95,"BK",,""
"CANTHIGASTER ROSTRATA","SHARPNOSE PUFFER",842,"SHAPUFF","","","8861010401","","S","","(BLOCH)","AFS-1991","","","Canthigaster rostrata","Sharpnose Puffer","842",09-AUG-95,"BK",,""
"CAPITELLIDAE","",,"","214020200000000","CAPFAM","500160","","F","","","","","","","","",28-DEC-94,"RAR",,""
"CAPRELLA SP","",,"","411010903000000","CAPRSP","61710107","","G","","GUILDING,1824","","","","","","",28-DEC-94,"RAR",,""
"CAPRELLIDAE","",,"","411010900000000","CAPFA1","617101","","F","","","","","","","","",28-DEC-94,"RAR",,""
"CAPROIDAE","BOARFISH UNCL",422,"BOARU","","","881106","","F","","","AFS-1991","","|SV: OR ANTIGONIA SP. SINCE ONLY ONE GENUS","Caproidae sp","Boarfish Uncl","422",01-JAN-99,"FPA",,""
"CARANGIDAE","JACK POMPANO UNCL",582,"JACKU","823211400000000","CARFAM","883528","","F","","","AFS-1991","","|SV: MINOR EDITS","Carangidae sp","Jack Pompano Uncl","582",01-JAN-99,"FPA",,""
"CARANX BARTHOLOMAEI","YELLOW JACK",569,"YELJACK","","","8835280301","","S","","CUVIER, 1833","AFS-1991","","","Caranx bartholomaei","Yellow Jack","569",09-AUG-95,"BK",,""
"CARANX CRYSOS","BLUE RUNNER",129,"RUNNER","823211402040000","CARCRY","8835280306","","S","","(MITCHILL)","AFS-1991","","","Caranx crysos","Blue Runner","129",09-AUG-95,"BK",,""
"CARANX HIPPOS","CREVALLE JACK",570,"CREJACK","823211402040000","CARHIP","8835280303","","S","","(LINNAEUS)","AFS-1991","","","Caranx hippos","Crevalle Jack","570",09-AUG-95,"BK",,""
"CARANX LATUS","HORSE-EYE JACK",571,"HORJACK","","","8835280304","","S","","AGASSIZ","AFS-1991","","","Caranx latus","Horse-Eye Jack","571",09-AUG-95,"BK",,""
"CARANX RUBER","BAR JACK",572,"BARJACK","","","8835280308","","S","","(BLOCH, 1793)","AFS-1991","","","Caranx ruber","Bar Jack","572",09-AUG-95,"BK",,""
"CARAPUS BERMUDENSIS","PEARLFISH",462,"PEARLF","","","8792020101","","S","","(JONES)","AFS-1991","","","Carapus bermudensis","Pearlfish","462",09-AUG-95,"BK",,""
"CARCHARHINIDAE","REQUIEM SHARK UNCL",361,"REQU","","","870802","","F","","JORDAN AND EVERMANN, 1896","AFS-1991","","|SV: MINOR EDITS","Carcharhinidae sp","Requiem Shark Uncl","361",01-JAN-99,"FPA",,""
"CARCHARHINUS ACRONOTUS","BLACKNOSE SHARK",354,"BNOSESH","","","8708020504","","S","","(POEY, 1860)","AFS-1991","","","Carcharhinus acronotus","Blacknose Shark","354",09-AUG-95,"BK",,""
"CARCHARHINUS ALTIMUS","BIGNOSE SHARK",929,"BIGNSH","","","8708020505","","S","","(SPRINGER, 1950)","AFS-1991","","","Carcharhinus altimus","Bignose Shark","929",09-AUG-95,"BK",,""
"CARCHARHINUS BREVIPINNA","SPINNER SHARK",931,"SPINSH","","","8708020530","","S","","(MUELLER AND HENLE, 1839)","AFS-1991","","|SV: NAME CHANGE AFS-1980","Carcharhinus maculipinnis","Spinner Shark","931",09-AUG-95,"BK",,""
"CARCHARHINUS FALCIFORMIS","SILKY SHARK",355,"SILKYSH","","","8708020506","","S","","(BIBRON, 1839)","AFS-1991","","","Carcharhinus falciformis","Silky Shark","355",09-AUG-95,"BK",,""
"CARCHARHINUS ISODON","FINETOOTH SHARK",928,"TOOTHSH","","","8708020531","","S","","(VALENCIENNES, 1939)","AFS-1991","","|SV: NAME CHANGE AFS-1980","Aprionodon isodon","Finetooth Shark","928",09-AUG-95,"BK",,""
"CARCHARHINUS LEUCAS","BULL SHARK",356,"BULLSH","","","8708020502","","S","","(VALENCIENNES, 1839)","AFS-1991","","","Carcharhinus leucas","Bull Shark","356",09-AUG-95,"BK",,""
"CARCHARHINUS LIMBATUS","BLACKTIP SHARK",357,"BTIPSH","","","8708020507","","S","","(VALENCIENNES, 1839)","AFS-1991","","","Carcharhinus limbatus","Blacktip Shark","357",09-AUG-95,"BK",,""
"CARCHARHINUS LONGIMANUS","OCEANIC WHITETIP SHARK",930,"WTIPSH","","","8708020508","","S","","(POEY, 1861)","AFS-1991","","","Carcharhinus longimanus","Oceanic Whitetip Shark","930",09-AUG-95,"BK",,""
"CARCHARHINUS OBSCURUS","DUSKY SHARK",3,"DUSKYSH","","","8708020501","","S","","(LESUEUR, 1818)","AFS-1991","","","Carcharhinus obscurus","Dusky Shark","003",09-AUG-95,"BK",,""
"CARCHARHINUS PEREZII","REEF SHARK",933,"REEFSH","","","8708020511","","S","","(POEY, 1876)","AFS-1991","","Spelling correction, DEC-2000","Carcharhinus springeri","Reef Shark","933",09-AUG-95,"BK",,""
"CARCHARHINUS PLUMBEUS","SANDBAR SHARK",9,"SBARSH","","","8708020503","","S","","(NARDO, 1827)","AFS-1991","","|SV: NAME CHANGED AFS-1980","Carcharhinus milberti","Sandbar Shark","009",09-AUG-95,"BK",,""
"CARCHARHINUS POROSUS","SMALLTAIL SHARK",932,"STAILSH","","","8708020512","","S","","(RANZANI, 1839)","AFS-1991","","","Carcharhinus porosus","Smalltail Shark","932",09-AUG-95,"BK",,""
"CARCHARHINUS SIGNATUS","NIGHT SHARK",934,"NIGHTSH","","","8708020532","","S","","(POEY, 1868)","AFS-1991","","","Carcharhinus signatus","Night Shark","934",09-AUG-95,"BK",,""
"CARCHARODON CARCHARIAS","WHITE SHARK",351,"WHITESH","","","8707040101","","S","","(LINNAEUS, 1758)","AFS-1991","","","Carcharodon carcharias","White Shark","351",09-AUG-95,"BK",,""
"CARCINUS MAENAS","GREEN CRAB",326,"","411023004010000","CARMAE","6189010701","","S","","(LINNAEUS, 1818)","AFS-1989","","","Carcinus maenas","","326",28-DEC-94,"RAR",,""
